id,name,co_authors,papers,num_co_authors,num_papers,community
4698,A. ElTanboly,"['6612', '12689', '40277', '105949', '162202', '481197', '546987', '1021026', '1027614', '1052625', '1099122', '1421779', '1469419', '1627045']","['57d06416ac4436735429c342', '58d83028d649053542fe5250']",14,2,1161.0
5458,A. G. Cole,"['147875', '221395', '368594', '515274', '728924', '957757', '1148707', '1304669', '1377981', '1422224']","['5736978a6e3b12023e67028e', '573697876e3b12023e66db03', '5736978a6e3b12023e66f988', '573697896e3b12023e66edd2', '5736978b6e3b12023e6713a4', '573697876e3b12023e66de03', '5736978a6e3b12023e66fcb9']",10,7,1360.0
8531,A. K. Soni,"['119820', '137521', '1343831', '1372695']","['5736968c6e3b12023e597176', '5736954d6e3b12023e479b2d', '5736954e6e3b12023e479c8a', '5736954d6e3b12023e479af6']",4,4,2152.0
16833,A. V. Sreejith,"['82244', '101311', '882141', '1468293', '1660439', '1731579']","['573696ea6e3b12023e5e82fc', '5736969d6e3b12023e5a5f64', '5736976e6e3b12023e655de6', '5736975c6e3b12023e645785', '573696ca6e3b12023e5cb261', '573696136e3b12023e525724', '57d06416ac4436735429cca6']",6,7,3975.0
24730,Abha Jain,"['462175', '1381278', '1446803', '1667231']","['58437789ac44360f10843e4a', '5736966e6e3b12023e57a51d', '573698036e3b12023e6dc071', '573698036e3b12023e6dbf3f', '5736957d6e3b12023e49fa69', '5736985f6e3b12023e725729']",4,6,2152.0
25258,Abhinav Duggal,"['452878', '864534', '1051212', '1343644', '1384959', '1484729', '1503917']","['573698356e3b12023e703fa0', '573697b16e3b12023e69402b']",7,2,7118.0
25502,Abhishek Bhatia,"['83013', '269120', '943433', '1216538', '1249291', '1414269', '1738759']","['5736964b6e3b12023e5575b1', '573697c46e3b12023e6a5837', '555036dd7cea80f954161554']",7,3,2152.0
27082,Achilles Colombo Prudêncio,"['837945', '1037894', '1154950', '1428261', '1503171']","['573696a86e3b12023e5ad71f', '573697536e3b12023e63d2cf']",5,2,7812.0
28717,Adam L. Berger,"['63023', '361390', '375016', '410885', '614375', '807215', '813344', '1001334', '1117498', '1145329', '1319539', '1405869', '1422224', '1424096', '1590401', '1726652', '1733708']","['573696da6e3b12023e5d9927', '573696f36e3b12023e5f07c5', '5736970d6e3b12023e606952', '5736970e6e3b12023e606cb5', '573696c56e3b12023e5c58d1', '573696936e3b12023e59cebb', '573696da6e3b12023e5d9889', '555037557cea80f954182317', '573696c56e3b12023e5c6234', '5736974d6e3b12023e63869f', '573696fd6e3b12023e5f83bc', '5736969a6e3b12023e5a2df2', '5736973b6e3b12023e62b4db', '573696086e3b12023e51c19f', '5736980d6e3b12023e6e4439', '573696026e3b12023e515f10', '573696c56e3b12023e5c63d2']",17,17,1360.0
37816,Ahmad Firjani,"['30331', '30492', '39263', '162202', '481197', '535196', '546987', '713236', '890290', '1181010']","['573697616e3b12023e649312', '573697b66e3b12023e698165', '573697b36e3b12023e695345', '573698016e3b12023e6da2d7', '5736986e6e3b12023e731755', '573697b46e3b12023e696538']",10,6,1161.0
