src,dst,w
199478,1731579,11
804113,1731579,42
1510600,1731579,3
199478,804113,6
199478,1510600,3
804113,1510600,7
942879,1051212,15
546976,1052625,1
1052625,1641241,1
546976,1641241,1
1235183,1266461,5
392813,684016,4
149381,684016,4
149381,392813,4
886739,1289195,3
813564,1263204,1
491360,1095517,7
1731579,1811996,10
252998,1229143,2
1285832,1487062,8
119820,1838136,7
1050254,1226789,2
803257,910067,1
112590,910067,4
1586237,1709141,3
834001,1709141,3
910067,1709141,1
1002803,1709141,1
834001,1586237,3
910067,1586237,1
1002803,1586237,1
834001,910067,3
834001,1002803,1
910067,1002803,1
803257,1250370,1
151256,1250370,2
1250370,1586237,2
350320,1250370,5
151256,1586237,2
151256,350320,3
350320,1586237,1
1250370,1429859,5
112590,1429859,2
350320,1429859,1
112590,1250370,3
112590,350320,2
1289195,1480279,1
886739,1480279,1
134698,151256,2
1173219,1406385,2
1173219,1586237,3
1181154,1182675,5
361827,1116722,5
361827,372211,5
372211,1116722,30
145520,1095517,13
1553950,1758884,3
1116722,1553950,9
109445,1553950,4
372211,1553950,7
1116722,1758884,3
109445,1758884,2
372211,1758884,2
109445,1116722,5
109445,372211,4
537173,1731579,16
145520,1095218,5
689718,1095218,3
145520,689718,6
279192,408167,3
294568,1116722,7
294568,372211,6
1263370,1731579,4
537173,804113,8
804113,1263370,18
537173,1263370,4
835429,1114467,5
947598,1114467,3
1114467,1235259,2
372211,1114467,4
835429,947598,2
835429,1235259,2
372211,835429,2
947598,1235259,2
372211,947598,2
372211,1235259,3
367504,471509,3
471509,1422224,2
367504,1422224,3
1350042,1731579,18
537173,1350042,3
201242,1302920,2
784528,1591434,2
63039,910067,3
361966,803257,1
1317454,1406385,2
25502,1414269,2
538756,1190666,4
150264,538756,4
150264,1190666,4
803257,1395960,2
1507903,1731579,11
718934,1731579,15
804113,1507903,28
718934,1507903,4
718934,804113,18
1452312,1506957,1
1347119,1414269,1
1414269,1838136,1
1347119,1838136,10
1473253,1655224,8
1111773,1655224,10
1111773,1473253,8
339211,1318750,3
1318750,1655863,5
339211,1655863,1
112590,541174,2
1051212,1384763,10
159506,1349894,1
243310,784294,2
372211,1481921,8
427610,1307638,4
1468293,1731579,9
148477,249691,5
1051212,1379975,2
150264,1341439,1
1239925,1473253,2
1239925,1734202,2
1239925,1474970,2
1473253,1734202,2
1473253,1474970,2
1474970,1734202,2
1090116,1182675,4
1090116,1336317,15
1090116,1326956,15
1090116,1181154,4
1090116,1457222,15
1182675,1336317,4
1182675,1326956,4
1182675,1457222,4
1326956,1336317,15
1181154,1336317,4
1336317,1457222,15
1181154,1326956,4
1326956,1457222,15
1181154,1457222,4
1090116,1720133,3
1720133,1734236,1
1235183,1720133,6
1090116,1734236,1
1090116,1235183,1
1235183,1734236,5
1182675,1720133,2
1336317,1720133,2
1326956,1720133,2
1181154,1720133,2
1457222,1720133,5
147875,1602072,1
1201304,1342691,1
1138902,1342691,2
1138902,1201304,5
533449,1201304,1
957757,1201304,10
533449,957757,1
957757,1282523,9
1282523,1422224,3
957757,1422224,19
1201304,1325324,1
1138902,1325324,6
957757,1325324,12
957757,1138902,9
533449,1342691,3
957757,1342691,1
1325324,1342691,1
28717,410885,6
1138902,1141225,2
1141225,1283160,2
1138902,1283160,1
1201304,1282523,2
1138902,1282523,2
957757,1602072,1
1325324,1602072,1
1422224,1602072,1
1138902,1602072,1
1325324,1422224,6
1138902,1422224,2
39263,641461,2
535196,641461,2
546976,641461,1
39263,535196,10
39263,546976,1
535196,546976,1
1099122,1481201,3
1099122,1419621,4
1419621,1481201,7
39263,1116824,13
1042512,1116824,5
1052625,1116824,4
39263,1042512,4
39263,1052625,3
1042512,1052625,5
747266,1481921,2
389701,448736,1
389701,1018858,1
448736,1018858,3
1088602,1711151,4
1341454,1569691,3
585027,1642524,3
854562,1336466,1
854562,1336317,7
1336317,1336466,4
1436428,1880187,5
1298386,1728727,7
1658326,1728727,2
1298386,1658326,9
249694,1404785,3
150264,882287,4
48004,1090116,3
48004,1326956,3
48004,1336317,3
48004,1457222,3
39895,40251,4
39895,1188616,3
40251,1188616,5
1621664,1903340,6
719828,1621664,4
719828,1903340,11
107706,1147079,1
783538,1147079,1
107706,783538,1
1446803,1838136,17
965574,1642524,3
499070,965574,3
1147079,1481921,1
1050591,1446803,1
150264,1838136,25
194531,1838136,5
150264,194531,5
150264,1446803,17
297752,1628516,2
154812,1628516,3
154812,297752,2
8531,137521,2
8531,1343831,2
119820,1343831,5
8531,119820,2
293139,1333421,2
293139,866665,2
866665,1333421,2
177629,1586237,3
1116722,1264821,6
928125,1420831,4
132459,1178794,4
928125,1506957,6
1711151,1731579,3
1378817,1731579,4
804113,1711151,11
804113,1378817,8
1378817,1711151,6
54187,958744,9
397932,958744,4
54187,397932,2
1731579,1779818,2
804113,1779818,11
910067,1429859,7
804113,1811996,4
537173,1507903,4
1507903,1811996,4
537173,1811996,2
1263204,1682935,6
928125,1518078,2
767897,1263204,1
1406385,1655863,6
1569691,1731579,5
311706,1682935,3
1263204,1263370,9
753417,1337117,14
1124038,1658326,6
965574,1008768,6
1008768,1298386,5
965574,1298386,6
230678,1524049,3
389754,1504357,3
834001,1395960,2
134698,1406385,3
1053091,1586237,6
112590,1586237,3
1395960,1586237,5
112590,1395960,1
1318750,1406385,3
1318750,1395960,3
1395960,1406385,1
1298386,1337117,7
753417,1426775,11
230678,1838136,3
295959,1095517,5
149381,1343831,2
1190666,1343831,2
149381,1190666,2
1005672,1337117,12
161246,1005672,3
161246,1337117,1
1291907,1731579,25
718934,1711151,8
942448,1285832,5
957757,1319539,4
1319539,1325324,5
1319539,1422224,15
808372,1748866,6
808372,1138902,2
1138902,1748866,3
147875,1325324,1
147875,1138902,3
147875,957757,3
1138902,1319539,1
957757,1597918,3
1282523,1597918,2
1422224,1597918,2
1282523,1325324,4
48004,1239446,2
119740,1384751,5
392813,1190666,4
1341454,1731579,12
199478,718934,6
199478,1507903,1
1263370,1507903,12
169591,252998,2
1051212,1384751,19
230678,865648,3
865648,1279423,3
230678,1279423,3
719828,1457222,11
752662,753417,5
784528,1591619,2
117914,1487287,7
942448,1487287,9
117914,942448,7
