id,name,co_authors,papers,num_co_authors,num_papers,community
22825,Abdul Kalash,"['152279', '152310', '362271', '565990', '886027', '1083287', '1225351', '1230189', '1345556', '1386274', '1555949', '1575613']","['5736984e6e3b12023e71695a', '5550372b7cea80f954177bcf', '573695e66e3b12023e4fbbe1', '573696cc6e3b12023e5cca68']",12,4,6148.0
25258,Abhinav Duggal,"['452878', '864534', '1051212', '1343644', '1384959', '1484729', '1503917']","['573697b16e3b12023e69402b', '573698356e3b12023e703fa0']",7,2,7102.0
27082,Achilles Colombo Prudêncio,"['837945', '1037894', '1154950', '1428261', '1503171']","['573697536e3b12023e63d2cf', '573696a86e3b12023e5ad71f']",5,2,7793.0
28717,Adam L. Berger,"['63023', '361390', '375016', '410885', '614375', '807215', '813344', '1001334', '1117498', '1145329', '1319539', '1405869', '1422224', '1424096', '1590401', '1726652', '1733708']","['5736980d6e3b12023e6e4439', '573696f36e3b12023e5f07c5', '5736974d6e3b12023e63869f', '5736973b6e3b12023e62b4db', '5736969a6e3b12023e5a2df2', '573696da6e3b12023e5d9889', '573696c56e3b12023e5c6234', '573696026e3b12023e515f10', '5736970e6e3b12023e606cb5', '555037557cea80f954182317', '5736970d6e3b12023e606952', '573696da6e3b12023e5d9927', '573696c56e3b12023e5c58d1', '573696fd6e3b12023e5f83bc', '573696086e3b12023e51c19f', '573696936e3b12023e59cebb', '573696c56e3b12023e5c63d2']",17,17,1349.0
32742,Adrian Als,"['322482', '737499', '1127829', '1305632', '1395749']","['573697216e3b12023e6149ae', '573695a76e3b12023e4c5d0d', '555037687cea80f95418647a']",5,3,4065.0
34893,Adrien Semin,"['223470', '298377', '544637', '836645', '915185']","['555036df7cea80f95416260a', '573696396e3b12023e545868', '5736963b6e3b12023e54794b']",5,3,10998.0
41011,Ahti Salo,"['10785', '73248', '128405', '136361', '136425', '372131', '431074', '451160', '545510', '571350', '657367', '703105', '740077', '744290', '806243', '850695', '863514', '865102', '865103', '865764', '911610', '916732', '954947', '980527', '1048904', '1112790', '1156276', '1314302', '1332463', '1377997', '1577865', '1626171', '1675276', '1690188', '1695035', '1727162', '1732237', '1810840', '1842402']","['573695916e3b12023e4b17c2', '573695926e3b12023e4b2da6', '573698096e3b12023e6e1247', '573695e96e3b12023e4fedcd', '573696c96e3b12023e5c98bf', '573695996e3b12023e4b81f4', '573695996e3b12023e4b818c', '573695926e3b12023e4b2df0', '573695806e3b12023e4a18dc', '573695aa6e3b12023e4c9387', '573695f16e3b12023e505d06', '573697256e3b12023e617f53', '573695846e3b12023e4a553d', '573695996e3b12023e4b81bd', '573696856e3b12023e59114f', '573695996e3b12023e4b81e6', '5736958d6e3b12023e4ad9da', '573695f36e3b12023e508108', '555036c07cea80f9541511ef', '573695ec6e3b12023e501220', '573695996e3b12023e4b8178', '573695f06e3b12023e505876', '573695996e3b12023e4b81f9', '555036c17cea80f954151af9', '573695e96e3b12023e4fec3c', '573695926e3b12023e4b2556', '573696816e3b12023e58c6fd', '573695e96e3b12023e4fee96', '573695936e3b12023e4b36be', '555036d37cea80f95415af4d', '555036be7cea80f95414fd1e', '573695926e3b12023e4b2918', '57a4e92bac44365e35c9abd2', '573696c76e3b12023e5c781d', '573697326e3b12023e623481', '573695906e3b12023e4b0752', '573696af6e3b12023e5b2a12', '573695aa6e3b12023e4c9417', '573695916e3b12023e4b1ebd']",39,39,13135.0
43318,Ajay Chaudhary,"['119740', '533508', '1051212', '1406044', '1645505']","['5736970f6e3b12023e6078f7', '573698426e3b12023e70c160']",5,2,7102.0
43348,Ajay Guleria,"['942448', '942449', '957735', '1196001', '1221844', '1221845']","['573696816e3b12023e58d414', '57a4e8f1ac44365e35c93611', '58d83014d649053542fe234e']",6,3,7102.0
48187,Alain Dimier,"['47958', '312578', '461738', '463333', '866605', '965941', '1333105']","['5736960c6e3b12023e51fca0', '573697e76e3b12023e6c3b98']",7,2,10998.0
