id,year,venue,out_d,in_d,title
573695436e3b12023e4710f2,2010,Encyclopedia of Software Engineering,1,0,Requirements Interaction Detection.
5736955d6e3b12023e4850a5,2011,ICCS,1,0,"International Conference on Computational Science, ICCS 2011 LabWiki: An Executable Paper Platform for Experiment-based Research."
573695836e3b12023e4a4c21,2009,Trans. Edutainment,1,0,Bringing Integrated Multimedia Content into Virtual Reality Environments.
573695f96e3b12023e50d275,1980,IBM Journal of Research and Development,1,0,Communication: Strenght Reduction for Division and Modulo with Application to Accessing a Multilevel Store.
573696036e3b12023e51696c,2014,GraMSec,1,0,Towards the Model-Driven Engineering of Secure yet Safe Embedded Systems.
573696046e3b12023e51748c,2013,TFPIE,1,0,From Principles to Practice with Class in the First Year.
573696066e3b12023e519f9d,2010,ITRS,1,0,Untangling Typechecking of Intersections and Unions
573696096e3b12023e51c860,2010,WCSI,1,0,Behavioural Models for Group Communications
5736960d6e3b12023e520604,2012,ITRS,1,0,Annotations for Intersection Typechecking.
5736968f6e3b12023e59a268,1977,Commun. ACM,1,0,An Algorithm for Reduction of Operator Strength.
573696906e3b12023e59b001,1976,Commun. ACM,3,0,A Program Data Flow Analysis Procedure.
573696926e3b12023e59bd97,1977,Commun. ACM,3,0,Experimental Investigations of the Utility of Detailed Flowcharts in Programming.
573696966e3b12023e59f930,1981,Comput. Lang.,2,0,Register Allocation Via Coloring.
573696b16e3b12023e5b469c,2008,"Innovative Techniques in Instruction Technology, E-learning, E-assessment, and Education",1,0,An Empirical Study of Product Metrics in Software Testing.
573696b16e3b12023e5b4702,2006,Integrated Intelligent Systems for Engineering Design,1,0,Design of Fuzzy Models through Particle Swarm Optimization.
573696b26e3b12023e5b4c8c,2006,Swarm Intelligent Systems,1,0,Particle Swarm for Fuzzy Models Identification.
573696b26e3b12023e5b5096,2006,Swarm Intelligent Systems,1,0,A Matlab Implementation of Swarm Intelligence based Methodology for Identification of Optimized Fuzzy Models.
573696b26e3b12023e5b54a6,2008,Computational Intelligence in Biomedicine and Bioinformatics,1,0,Curvature Flow Based 3D Surface Evolution Model for Polyp Detection and Visualization in CT Colonography.
573696b26e3b12023e5b54f6,2013,Advanced Methods for Computational Collective Intelligence,1,0,A Multi-agent Model for Image Browsing and Retrieval.
573696b26e3b12023e5b5594,2008,Computer and Information Science,1,0,Empirical Investigation of Metrics for Fault Prediction on Object-Oriented Software.
573696b36e3b12023e5b5946,2015,New Trends in Intelligent Information and Database Systems,1,0,An IoT Based Service System as a Research and Educational Platform.
573696b36e3b12023e5b5bcf,2014,Computational Logic,1,0,Degrees of Unsolvability.
573696b36e3b12023e5b608b,2012,Epistemology versus Ontology,1,0,Primitive Recursive Arithmetic and Its Role in the Foundations of Arithmetic: Historical and Philosophical Reflections.
573696b36e3b12023e5b61ec,2015,Intertwingled - The Work and Influence of Ted Nelson,1,0,History Debugged.
573696b36e3b12023e5b65c3,1993,Current Trends in Theoretical Computer Science,1,0,Is #P Closed Under Subtraction?
573696b76e3b12023e5b9ae3,2009,TOOLS (47),1,0,Fast Simulation Techniques for Design Space Exploration.
573696b86e3b12023e5b9de0,2001,TOOLS (39),1,0,Autonomous Intelligent Agents.
573696b86e3b12023e5b9e40,2001,TOOLS (39),1,0,Component Frameworks.
573696b86e3b12023e5ba02a,2004,International Conference on Computational Intelligence,1,0,Advanced Support Vector Machines for Image Modeling Using Gibbs-Markov Random Field.
573696b96e3b12023e5baf9d,2008,IGARSS (4),1,0,A Critical Analysis to Generate Change Detection Map using SAR Interferometry for Land Subsidence Monitoring of New Orleans City of USA.
573696bb6e3b12023e5bc2f7,2012,IGARSS,1,0,Mixture of HMM Experts with applications to landmine detection.
573696bb6e3b12023e5bca8d,2007,IGARSS,1,0,Unsupervised land cover classification of SAR images by contour tracing.
573696bb6e3b12023e5bcd42,2009,IGARSS (3),1,0,Urban Thermal Environment Simulation and Prediction based on Remote Sensing and GIS.
573696bb6e3b12023e5bcf4c,2008,IGARSS (2),1,0,Hierarchical Methods for Landmine Detection with Wideband Electro-Magnetic Induction and Ground Penetrating Radar Multi-Sensor Systems.
573696bc6e3b12023e5bddc8,2013,QSHINE,1,0,A Comparative Analysis of Various Deployment Based DDoS Defense Schemes.
573696bd6e3b12023e5bebf2,2015,AMCIS,1,0,A framework for next generation e-health systems and services.
573696bf6e3b12023e5c0009,2007,FORMATS,1,0,Designing Consistent Multimedia Documents: The RT-LOTOS Methodology.
573696bf6e3b12023e5c065e,2010,ICDF2C,1,0,An IP Traceback Model for Network Forensics.
573696c06e3b12023e5c108d,2011,WCNC,1,0,Graph coloring based spectrum allocation for femtocell downlink interference mitigation.
573696c06e3b12023e5c14d6,2005,WCNC,1,0,Overview of the ORBIT radio grid testbed for evaluation of next-generation wireless network protocols.
573696c16e3b12023e5c2023,2007,WCNC,1,0,A DCCP Congestion Control Mechanism for Wired-cum-Wireless Environments.
573696c16e3b12023e5c24d2,2007,WCNC,1,0,Improved IP-Level Emulation for Mobile and Wireless Systems.
573696c36e3b12023e5c393a,2005,TABLEAUX,1,0,The Space Efficiency of OSHL.
573696c36e3b12023e5c3e26,2006,TAMODIA,1,0,Goals: Interactive Multimedia Documents Modeling.
573696c46e3b12023e5c4195,2007,VMCAI,1,0,Model Checking Via GammaCFA.
573696c46e3b12023e5c4208,2010,VMCAI,1,0,Shape Analysis in the Absence of Pointers and Structure.
573696c46e3b12023e5c4218,2009,VMCAI,1,0,A PosterioriSoundness for Non-deterministic Abstract Interpretations.
573696c46e3b12023e5c423a,2009,VMCAI,1,0,The Higher-Order Aggregate Update Problem.
573696c46e3b12023e5c584e,2003,SIGIR,1,0,Transliteration of proper names in cross-language applications.
573696c56e3b12023e5c5d98,2001,SIGIR Workshop: Information Retrieval Techniques for Speech Applications,1,0,Extracting Caller Information from Voicemail.
573696c56e3b12023e5c6234,1999,SIGIR,1,0,Information Retrieval as Statistical Translation.
573696c66e3b12023e5c6769,2009,CICSyN,1,0,Distributed Energy Efficient Key Distribution for Dense Wireless Sensor Networks.
573696c66e3b12023e5c677c,2009,CICSyN,1,0,A Single Sign-On Model for Web Services Based on Password Scheme.
573696c66e3b12023e5c678d,2009,CICSyN,1,0,A Hybrid Model of Defense Techniques against Base Station Jamming Attack in Wireless Sensor Networks.
573696c66e3b12023e5c67df,2015,CICSyN,1,0,A Novel Method of Opportunistic Wireless Energy Harvesting in Cognitive Radio Networks.
573696c66e3b12023e5c67f1,2015,CICSyN,1,0,Comparison of Different Weight Assignment Strategy in Weighted Cooperative Spectrum Sensing.
573696c66e3b12023e5c6813,2009,CICSyN,1,0,Design of a Private Credentials Scheme Based on Elliptic Curve Cryptography.
573696c66e3b12023e5c687c,2015,AISI,1,0,Detection of Dead Stained Microscopic Cells Based on Color Intensity and Contrast.
573696c66e3b12023e5c68ad,2011,ADCONS,1,0,Reputation-Based Trust for Mobile Agents.
573696c66e3b12023e5c68e2,2011,ADCONS,1,0,Efficient Variable Size Template Matching Using Fast Normalized Cross Correlation on Multicore Processors.
573696c76e3b12023e5c748a,2012,ACCV (2),1,0,PEDIVHANDI: Multimodal Indexation and Retrieval System for Lecture Videos.
573696c76e3b12023e5c7651,2002,INEX Workshop,1,0,Applying the IRstream Retrieval Engine for Structured Documents to INEX.
573696c76e3b12023e5c81c3,1995,FTCS,1,0,Implementing Fault Tolerant Applications using Reflective Object-Oriented Programming.
573696c86e3b12023e5c8bdc,2004,HSNMC,1,0,Reliable Multicast Transport by Satellite: A Hybrid Satellite/Terrestrial Solution with Erasure Codes.
573696c86e3b12023e5c8c01,2004,HSNMC,1,0,"Multi-protocol Header Protection (MPHP), a Way to Support Error-Resilient Multimedia Coding in Wireless Networks."
573696c96e3b12023e5c9361,1994,CIAC,1,0,On Self-Reducible Sets of Low Information Content.
573696c96e3b12023e5c95f0,2008,RE,1,0,Supporting Requirements Model Evolution throughout the System Life-Cycle.
573696c96e3b12023e5c972f,2011,RESS,1,0,Smarter Architecture & Engineering: Game changer for requirements management: A position paper.
573696c96e3b12023e5c996e,2002,RE,1,0,Automating Speculative Queries through Event-Based Requirements Traceability.
573696c96e3b12023e5c9a5b,2009,RE,1,0,Lessons Learned from the Use of Artifact Models in Industrial Projects.
573696c96e3b12023e5c9d59,2007,DSN,1,0,RAS by the Yard.
573696ca6e3b12023e5ca068,2013,NASA Formal Methods,1,0,Extracting Hybrid Automata from Control Code.
573696ca6e3b12023e5cad90,1989,ICALP,1,0,Lower Bounds for the Low Hierarchy (Extended Abstract).
573696ca6e3b12023e5cad92,1984,ICALP,1,0,Robust Algorithms: A Different Approach to Oracles.
573696ca6e3b12023e5caea6,2010,ICALP (1),1,0,Weak Completeness Notions for Exponential Time.
573696ca6e3b12023e5caf00,2004,ICALP,1,0,Some Results on Effective Randomness.
573696ca6e3b12023e5caf53,2000,ICALP,1,0,Deterministic Algorithms for k-SAT Based on Covering Codes and Local Search.
573696ca6e3b12023e5caf73,2006,ICALP (1),1,0,Testing Graph Isomorphism in Parallel by Playing a Game.
573696ca6e3b12023e5caffd,1986,ICALP,1,0,Complexity Classes Without Machines: On Complete Languages for UP.
573696ca6e3b12023e5cb0e1,1992,ICALP,1,0,Reductions to Sets of Low Information Content.
573696ca6e3b12023e5cb18b,2010,ICALP (1),1,0,Interval Graphs: Canonical Representation in Logspace.
573696ca6e3b12023e5cb1b2,1985,ICALP,1,0,Polynomial Levelability and Maximal Complexity Cores.
573696ca6e3b12023e5cb1b5,1989,ICALP,1,0,A Combinatorial Technique for Separating Counting Complexity Classes.
573696ca6e3b12023e5cb208,1986,ICALP,1,0,Lower Bounds by Recursion Theoretic Arguments (Extended Abstract).
573696ca6e3b12023e5cb261,2015,ICALP (2),1,0,Limited Set quantifiers over Countable Linear Orderings.
573696ca6e3b12023e5cb33d,1991,ICALP,1,0,Collapsing Degrees via Strong Computation (Extended Abstract).
573696ca6e3b12023e5cb356,1995,ICALP,1,0,New Collapse Consequences of NP Having Small Circuits.
573696ca6e3b12023e5cb4ab,1993,ICALP,1,0,Fault-Tolerance and Complexity (Extended Abstract).
573696ca6e3b12023e5cb626,2006,ICALP (1),1,0,Some Results on Matchgates and Holographic Algorithms.
573696cb6e3b12023e5cb6b5,1983,ICALP,1,0,Immunity (Extended Abstract).
573696cb6e3b12023e5cb748,2009,ICALP (1),1,0,Superhighness and Strong Jump Traceability.
573696cb6e3b12023e5cb849,1995,ICALP,1,0,On Optimal Polynomial Time Approximations: P-Levelability vs. Delta-Levelability (Extended Abstract).
573696cb6e3b12023e5cb862,1984,ICALP,1,0,P-Generic Sets.
573696cb6e3b12023e5cba63,2005,WCRE,1,0,"Semantic Navigation of Large Code Bases in Higher-Order, Dynamically Typed Languages."
573696cc6e3b12023e5cc973,2011,FACS,1,0,Verifying Safety of Fault-Tolerant Distributed Components.
573696cc6e3b12023e5ccd03,2008,eScience,1,0,Concrete Partial Evaluation in Ruby.
573696cd6e3b12023e5cdb46,2010,HAIS (1),1,0,Model Driven Image Segmentation Using a Genetic Algorithm for Structured Data.
573696cd6e3b12023e5cdc17,2015,HAIS,1,0,Arabic Handwriting Recognition Based on Synchronous Multi-stream HMM Without Explicit Segmentation.
573696d16e3b12023e5d14f2,2008,BMVC,1,0,A Framework for Unsupervised Segmentation of Lung Tissues from Low Dose Computed Tomography Images.
573696d16e3b12023e5d15e8,2011,BMVC,1,0,Novel Image-Based 3D Reconstruction of the Human Jaw using Shape from Shading and Feature Descriptors.
573696d26e3b12023e5d2891,1979,Theoretical Computer Science,1,0,Information Content Characterizations of Complexity Theoretic Properties.
573696d26e3b12023e5d294a,2001,AVBPA,1,0,A Face Location Algorithm Robust to Complex Lighting Conditions.
573696d26e3b12023e5d2b40,2016,FoIKS,1,0,Approximation and Dependence via Multiteam Semantics.
573696d36e3b12023e5d32fb,2015,TIME,1,0,A Team Based Variant of CTL.
573696d36e3b12023e5d335f,2015,TIME,1,0,The Model Checking Fingerprints of CTL Operators.
573696d36e3b12023e5d3379,2009,TIME,1,0,Model Checking CTL is Almost Always Inherently Sequential.
573696d36e3b12023e5d33ac,2015,TIME,1,0,LTL Fragments are Hard for Standard Parameterisations.
573696d66e3b12023e5d5fb1,2008,DAC,1,0,"Transistor level gate modeling for accurate and fast timing, noise, and power analysis."
573696d76e3b12023e5d68b5,1966,DAC,1,0,DISPLAYTRAN a graphic oriented conversational system.
573696d76e3b12023e5d7093,2004,DAC,1,0,Introduction of local memory elements in instruction set extensions.
573696d76e3b12023e5d757c,2005,ICAPR (1),1,0,Ancient Printed Documents Indexation: A New Approach.
573696d96e3b12023e5d8a15,1993,ACL,1,0,Towards History-Based Grammars: Using Richer Models for Probabilistic Parsing.
573696d96e3b12023e5d8cc4,2006,ACL,1,0,Using Lexical Dependency and Ontological Knowledge to Improve a Detailed Syntactic and Semantic Tagger of English.
573696d96e3b12023e5d8e32,1991,ACL,1,0,Word-Sense Disambiguation Using Statistical Methods.
573696d96e3b12023e5d8f1e,1995,ACL,1,0,Statistical Decision-Tree Models for Parsing.
573696d96e3b12023e5d9138,2001,ACL,1,0,Information Extraction from Voicemail.
573696d96e3b12023e5d92e8,1998,COLING-ACL,1,0,Use of Mutual Information Based Character Clusters in Dictionary-less Morphological Analysis of Japanese.
573696d96e3b12023e5d938d,1998,COLING-ACL,1,0,Time Mapping with Hypergraphs.
573696da6e3b12023e5d9510,1992,ACL,1,0,"Efficiency, Robustness and Accuracy in Picky Chart Parsing."
573696da6e3b12023e5d96be,1997,ACL,1,0,Fertility Models for Statistical Natural Language Understanding.
573696da6e3b12023e5d979f,1991,ACL,1,0,Aligning Sentences in Parallel Corpora.
573696da6e3b12023e5d97cc,1996,ACL,1,0,The Rhythm of Lexical Stress in Prose.
573696da6e3b12023e5d9889,1997,ACL,1,0,A Model of Lexical Attraction and Repulsion.
573696da6e3b12023e5d9927,2000,ACL,1,0,Query-Relevant Summarization using FAQs.
573696da6e3b12023e5d9975,1998,COLING-ACL,1,0,Trigger-Pair Predictors in Parsing and Tagging.
573696da6e3b12023e5d99d2,1992,ACL,1,0,Development and Evaluation of a Broad-Coverage Probabilistic Grammar of English-Language Computer Manuals.
573696da6e3b12023e5da097,1989,Category Theory and Computer Science,1,0,Declarative Continuations: an Investigation of Duality in Programming Language Semantics.
573696db6e3b12023e5da3cc,2010,Description Logics,1,0,The Complexity of Satisfiability for Sub-Boolean Fragments of ALC.
573696db6e3b12023e5da992,2015,UbiComp/ISWC Adjunct,1,0,Reading similarity measure based on comparison of fixation sequences.
573696db6e3b12023e5dac16,2013,UbiComp (Adjunct Publication),1,0,How AdkintunMobile measured the world.
573696db6e3b12023e5dac2c,2015,UbiComp/ISWC Adjunct,1,0,Extraction of read text using a wearable eye tracker for automatic video annotation.
573696db6e3b12023e5dadbf,2015,UbiComp/ISWC Adjunct,1,0,Eye gaze and text line matching for reading analysis.
573696db6e3b12023e5db07e,2010,Bangalore Compute Conf.,1,0,An improvement of Xu et al.'s authentication scheme using smart cards.
573696db6e3b12023e5db089,2011,Bangalore Compute Conf.,1,0,Species identification based on approximate matching.
573696db6e3b12023e5db0e9,2015,COMPUTE,1,0,A Detection Algorithm for DoS Attack in the Cloud Environment.
573696db6e3b12023e5db10a,2010,RP,1,0,The Complexity of Model Checking for Intuitionistic Logics and Their Modal Companions.
573696dc6e3b12023e5dbac5,2006,ANNPR,1,0,Learning and Feature Selection Using the Set Covering Machine with Data-Dependent Rays on Gene Expression Profiles.
573696dc6e3b12023e5dc0de,2003,CAiSE Short Paper Proceedings,1,0,Requirements Driven Data Warehouse Development.
573696de6e3b12023e5dd326,2005,WETICE,1,0,Collaborative Web Browsing Tool supporting Audio/Video Interactive Presentations.
573696de6e3b12023e5dd540,2002,WETICE,1,0,A Flexible Architecture for Collaborative Browsing.
573696de6e3b12023e5dd576,2001,WETICE,1,0,Working Group Report on Web-Based Infrastructures and Coordination Architectures.
573696de6e3b12023e5dd675,2007,WETICE,1,0,An Extensible Co-browsing Environment with Conference Support.
573696de6e3b12023e5dd6a7,2001,WETICE,1,0,A Design Framework for Collaborative Browsing.
